source,output,source_mb,output_mb,pct_reduction,encode_seconds,status,error
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUPEL_20130511_232743-RockSlide.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUPEL_20130511_232743-RockSlide.mp3,6.56,1.79,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUTOK_20190810_082714 rock slide with deep thump.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUTOK_20190810_082714 rock slide with deep thump.mp3,1.77,0.09,95.1,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUYEN_20120520_124131 short midground rock slide.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUYEN_20120520_124131 short midground rock slide.mp3,2.27,0.62,72.7,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUYEN_20120520_180417 avalanche with two major bursts, then a long wash-out.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAUYEN_20120520_180417 avalanche with two major bursts, then a long wash-out.mp3",7.32,1.99,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/GAARARRI_20180624_075645 small rockfall, background avian chorus.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/GAARARRI_20180624_075645 small rockfall, background avian chorus.mp3",8.83,2.4,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENACABN_20130714_112628-UnknownOrthopteran.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENACABN_20130714_112628-UnknownOrthopteran.mp3,7.99,2.18,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENAMCRI_20120725_151912_Mosquito (clear).wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENAMCRI_20120725_151912_Mosquito (clear).mp3,2.94,0.8,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENAMCRI_20120810_191000 mosquitos close.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENAMCRI_20120810_191000 mosquitos close.mp3,10.6,2.89,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENAMOOS_20180719_075149 insect wingbeats with two acoustically distinct behaviors.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENAMOOS_20180719_075149 insect wingbeats with two acoustically distinct behaviors.mp3,19.94,5.43,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATOKO_20160506_015745 deep insect wingbeats.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATOKO_20160506_015745 deep insect wingbeats.mp3,1.6,0.44,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATOKO_20160507_232954 insect wingbeats with Varied Thrush song.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATOKO_20160507_232954 insect wingbeats with Varied Thrush song.mp3,2.94,0.8,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATOKO_20190701_100630 long insect wingbeat tone.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATOKO_20190701_100630 long insect wingbeat tone.mp3,13.71,3.73,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATRLA_20240629_213201 very clear insect wings close to the windscreen.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/DENATRLA_20240629_213201 very clear insect wings close to the windscreen.mp3,2.02,0.55,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARARRI_20180625_195435 bumble bee and avian chorus.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARARRI_20180625_195435 bumble bee and avian chorus.mp3,4.96,1.35,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARARRI_20180723_155006 Grasshoppers stridulating.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARARRI_20180723_155006 Grasshoppers stridulating.mp3,20.44,5.56,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARFLOR_20180612_210329 clear insect buzzing.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARFLOR_20180612_210329 clear insect buzzing.mp3,6.39,1.74,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARFLOR_20180704_185606 moth wingbeats.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARFLOR_20180704_185606 moth wingbeats.mp3,9.42,2.57,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARNNUT_20140705_214919 very clear insect wingbeats.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARNNUT_20140705_214919 very clear insect wingbeats.mp3,9.59,2.61,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARNNUT_20140706_112454 long, horrible insect recording.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARNNUT_20140706_112454 long, horrible insect recording.mp3",11.36,3.09,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARPALA_20190615_075733 interesting repeated insect wingbeats with nearly identical harmonic structure each time, avian background.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARPALA_20190615_075733 interesting repeated insect wingbeats with nearly identical harmonic structure each time, avian background.mp3",11.44,3.11,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARUPNO_20180726_222040 fly sporadically buzzes.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/GAARUPNO_20180726_222040 fly sporadically buzzes.mp3,8.5,2.31,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMDORI_20160811_093232 a long insect event with rich harmonics.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMDORI_20160811_093232 a long insect event with rich harmonics.mp3,19.85,5.4,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMJOJO_20160628_090025 insect wingbeats slowly increase in pitch.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMJOJO_20160628_090025 insect wingbeats slowly increase in pitch.mp3,13.79,3.76,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMKABA_20160730_044150 large insect repeatedly lands on windscreen, background gulls surf.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMKABA_20160730_044150 large insect repeatedly lands on windscreen, background gulls surf.mp3",17.66,4.81,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMTACT_20170714_114719 good quality buzzy insect wingbeats.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/INSECTS/KATMTACT_20170714_114719 good quality buzzy insect wingbeats.mp3,7.57,2.06,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/DENACATH_20170727_181009 Arctic Ground Squirrel call with reverberation.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/DENACATH_20170727_181009 Arctic Ground Squirrel call with reverberation.mp3,5.38,1.47,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling interspersed with dawn chorus.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling interspersed with dawn chorus.mp3,8.52,2.32,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/DENAVABM_20090729_035000_Bear huffing.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/DENAVABM_20090729_035000_Bear huffing.mp3,0.15,0.12,24.3,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIM COMPRESS AMPLIFY FADE.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIM COMPRESS AMPLIFY FADE.mp3,30.82,4.19,86.4,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/GLBARENDU_20220612_162613 low-pitched Humpback Whale calls.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/GLBARENDU_20220612_162613 low-pitched Humpback Whale calls.mp3,2.27,0.62,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/GLBARENDU_20220613_234543 varied alarm calls including Hoary Marmot.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/GLBARENDU_20220613_234543 varied alarm calls including Hoary Marmot.mp3,2.52,0.69,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/KATM005_20100915_070024 excellent gutteral bear sounds TRIM.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/KATM005_20100915_070024 excellent gutteral bear sounds TRIM.mp3,2.87,0.78,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/LACLCHBA_20180703_060620 clear coyotes.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/LACLCHBA_20180703_060620 clear coyotes.mp3,9.25,2.52,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20150409_103518 Wolves howling - three distinct voices from an individual followed by group chorus.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20150409_103518 Wolves howling - three distinct voices from an individual followed by group chorus.mp3,9.17,2.5,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20150429_225402 clear Wolves howling.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20150429_225402 clear Wolves howling.mp3,6.65,1.81,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170128_072543 excellent wolf pack howling - beautiful spectrogram - BANDPASS 100 - 4000 Hz AMPLIFY +8 dBFS.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170128_072543 excellent wolf pack howling - beautiful spectrogram - BANDPASS 100 - 4000 Hz AMPLIFY +8 dBFS.mp3,7.91,2.15,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group BANDPASS 200 - 2500 Hz AMPLIFY +15 dBFS.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group BANDPASS 200 - 2500 Hz AMPLIFY +15 dBFS.mp3,25.74,7.01,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group.mp3,25.74,7.01,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170211_002212 solitary wolf howl leads into group howling.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170211_002212 solitary wolf howl leads into group howling.mp3,13.46,3.66,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170322_201312 clear solitary wolf howling, vocal cracking.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTBLMT_20170322_201312 clear solitary wolf howling, vocal cracking.mp3",5.72,1.56,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTCOPA_20160313_014852 solitary wolf howl very clear.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/MAMMALS/WRSTCOPA_20160313_014852 solitary wolf howl very clear.mp3,4.79,1.31,72.8,,skipped,
