id,title,audio_path,duration_sec,leading_silence_sec,trailing_silence_sec,max_internal_gap_sec,flags,notes
denatrla_20240802_081511,"a moderate-sized rock slide for this site location, probably from Nenana Ridge to the northeast, ~500 meters","highlights/audio/GEOPHONY/DENATRLA_20240802_081511 a moderate-sized rock slide for this site location, probably from Nenana Ridge to the northeast, ~500 meters.mp3",24.0,0.0,0.0,0.0,,
denatrla_20240802_152712,"rock slide, probably from Nenana Ridge to northeast about 500 meters","highlights/audio/GEOPHONY/DENATRLA_20240802_152712 rock slide, probably from Nenana Ridge to northeast about 500 meters.mp3",54.0,0.0,0.0,0.0,,
denaudal_20100702_132530,ice bubbles and creaking,highlights/audio/GEOPHONY/DENAUDAL_20100702_132530 ice bubbles and creaking.mp3,86.0,0.0,0.0,0.0,,
denaudal_20100702_132533,ice bubbles and creaking,highlights/audio/GEOPHONY/DENAUDAL_20100702_132533 ice bubbles and creaking BESSEL FILTER 1000 - 10000 Hz AMPLIFY +20 dBFS.mp3,65.411,0.012,0.035,0.0,,
denaupel_20130511_232743,DENAUPEL_20130511_232743-RockSlide,highlights/audio/GEOPHONY/DENAUPEL_20130511_232743-RockSlide.mp3,78.0,0.0,0.0,0.023,,
denautok_20190810_082714,rock slide with deep thump,highlights/audio/GEOPHONY/DENAUTOK_20190810_082714 rock slide with deep thump.mp3,11.231,0.0,0.0,0.0,,
denauyen_20120520_124131,short midground rock slide,highlights/audio/GEOPHONY/DENAUYEN_20120520_124131 short midground rock slide.mp3,27.0,0.012,0.0,0.0,,
denauyen_20120520_180417,"avalanche with two major bursts, then a long wash-out","highlights/audio/GEOPHONY/DENAUYEN_20120520_180417 avalanche with two major bursts, then a long wash-out.mp3",87.0,0.012,0.0,0.046,,
denauyen_20120521_144128,"clear, deep rock motion on the glacier","highlights/audio/GEOPHONY/DENAUYEN_20120521_144128 clear, deep rock motion on the glacier.mp3",23.357,0.0,0.081,0.406,,
denauyen_20120523_075701,quality rock slide audio,highlights/audio/GEOPHONY/DENAUYEN_20120523_075701 quality rock slide audio.mp3,64.757,0.0,0.0,0.0,,
denauyen_20120524_215113,"excellent, steady rock slide audio","highlights/audio/GEOPHONY/DENAUYEN_20120524_215113 excellent, steady rock slide audio.mp3",66.193,0.464,0.081,0.151,,
gaararri_20180624_075645,"small rockfall, background avian chorus","highlights/audio/GEOPHONY/GAARARRI_20180624_075645 small rockfall, background avian chorus.mp3",105.0,0.0,0.0,0.0,,
gaararri_20180625_071639,"rockslide, background Golden-crowned Sparrow song","highlights/audio/GEOPHONY/GAARARRI_20180625_071639 rockslide, background Golden-crowned Sparrow song TRIM.mp3",41.637,0.0,0.0,0.0,,
gaararri_20180628_145728,Thunder and beginning of rain shower,highlights/audio/GEOPHONY/GAARARRI_20180628_145728 Thunder and beginning of rain shower.mp3,40.072,0.0,0.0,0.0,,
gaaritki_20190621_150734,thunder,highlights/audio/GEOPHONY/GAARITKI_20190621_150734 thunder AMPLIFY +10dB.mp3,40.346,0.987,0.012,0.964,,
gaarnwal_20140708_140748,thunder no clipping,highlights/audio/GEOPHONY/GAARNWAL_20140708_140748 thunder no clipping.mp3,31.87,0.348,0.0,0.232,,
denacabn_20130714_112628,DENACABN_20130714_112628-UnknownOrthopteran,highlights/audio/INSECTS/DENACABN_20130714_112628-UnknownOrthopteran.mp3,95.0,0.0,0.0,0.0,,
denamcri_20120725_151912,Mosquito (clear),highlights/audio/INSECTS/DENAMCRI_20120725_151912_Mosquito (clear).mp3,35.0,0.0,0.0,0.0,,
denamcri_20120810_191000,mosquitos close,highlights/audio/INSECTS/DENAMCRI_20120810_191000 mosquitos close.mp3,126.0,0.0,0.0,0.0,,
denamoos_20180719_075149,insect wingbeats with two acoustically distinct behaviors,highlights/audio/INSECTS/DENAMOOS_20180719_075149 insect wingbeats with two acoustically distinct behaviors.mp3,237.0,0.0,0.0,0.0,,
denatoko_20160506_015745,deep insect wingbeats,highlights/audio/INSECTS/DENATOKO_20160506_015745 deep insect wingbeats.mp3,19.0,0.0,0.0,0.0,,
denatoko_20160507_232954,insect wingbeats with Varied Thrush song,highlights/audio/INSECTS/DENATOKO_20160507_232954 insect wingbeats with Varied Thrush song.mp3,35.0,0.0,0.0,0.0,,
denatoko_20190701_100630,long insect wingbeat tone,highlights/audio/INSECTS/DENATOKO_20190701_100630 long insect wingbeat tone.mp3,163.0,0.0,0.0,0.0,,
denatrla_20240629_213201,very clear insect wings close to the windscreen,highlights/audio/INSECTS/DENATRLA_20240629_213201 very clear insect wings close to the windscreen.mp3,24.0,0.0,0.0,0.0,,
gaararri_20180625_195435,bumble bee and avian chorus,highlights/audio/INSECTS/GAARARRI_20180625_195435 bumble bee and avian chorus.mp3,59.0,0.0,0.0,0.0,,
gaararri_20180723_155006,Grasshoppers stridulating,highlights/audio/INSECTS/GAARARRI_20180723_155006 Grasshoppers stridulating.mp3,243.0,0.0,0.0,0.0,,
gaarflor_20180612_210329,clear insect buzzing,highlights/audio/INSECTS/GAARFLOR_20180612_210329 clear insect buzzing.mp3,76.0,0.023,0.012,0.081,,
gaarflor_20180704_185606,moth wingbeats,highlights/audio/INSECTS/GAARFLOR_20180704_185606 moth wingbeats.mp3,112.0,0.0,0.012,22.105,internal_gap,internal gap 22.11s
gaarnnut_20140705_214919,very clear insect wingbeats,highlights/audio/INSECTS/GAARNNUT_20140705_214919 very clear insect wingbeats.mp3,114.0,0.023,0.012,0.139,,
gaarnnut_20140706_112454,"long, horrible insect recording","highlights/audio/INSECTS/GAARNNUT_20140706_112454 long, horrible insect recording.mp3",135.0,0.0,0.0,0.035,,
gaarpala_20190615_075733,"interesting repeated insect wingbeats with nearly identical harmonic structure each time, avian background","highlights/audio/INSECTS/GAARPALA_20190615_075733 interesting repeated insect wingbeats with nearly identical harmonic structure each time, avian background.mp3",136.0,0.0,0.0,0.267,,
gaarupno_20180726_222040,fly sporadically buzzes,highlights/audio/INSECTS/GAARUPNO_20180726_222040 fly sporadically buzzes.mp3,101.0,0.0,0.0,0.0,,
katmdori_20160811_093232,a long insect event with rich harmonics,highlights/audio/INSECTS/KATMDORI_20160811_093232 a long insect event with rich harmonics.mp3,236.0,0.0,0.0,0.0,,
katmjojo_20160628_090025,insect wingbeats slowly increase in pitch,highlights/audio/INSECTS/KATMJOJO_20160628_090025 insect wingbeats slowly increase in pitch.mp3,164.0,0.0,0.0,0.0,,
katmkaba_20160730_044150,"large insect repeatedly lands on windscreen, background gulls surf","highlights/audio/INSECTS/KATMKABA_20160730_044150 large insect repeatedly lands on windscreen, background gulls surf.mp3",210.0,0.0,0.0,0.0,,
katmtact_20170714_114719,good quality buzzy insect wingbeats,highlights/audio/INSECTS/KATMTACT_20170714_114719 good quality buzzy insect wingbeats.mp3,90.0,0.0,0.0,0.0,,
denacath_20170727_181009,Arctic Ground Squirrel call with reverberation,highlights/audio/MAMMALS/DENACATH_20170727_181009 Arctic Ground Squirrel call with reverberation.mp3,64.0,0.36,0.209,4.725,internal_gap,internal gap 4.72s
denafang_20110706_064839,Dall Sheep bleating,highlights/audio/MAMMALS/DENAFANG_20110706_064839_Dall Sheep bleating TRIM.mp3,46.487,0.0,0.0,0.0,,
denafang_20130730_090604,Caribou_Walking-Snorting-Grazing,highlights/audio/MAMMALS/DENAFANG_20130730_090604_Caribou_Walking-Snorting-Grazing.mp3,96.235,0.07,0.0,0.383,,
denahauk_20140617_084002,iron creek west wolves (male 1405) howling interspersed with dawn chorus,highlights/audio/MAMMALS/DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling interspersed with dawn chorus TRIM.mp3,28.27,0.0,0.0,0.0,,
denahauk_20140617_084002-mp3,iron creek west wolves (male 1405) howling interspersed with dawn chorus,highlights/audio/MAMMALS/DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling interspersed with dawn chorus.mp3,101.253,0.0,0.0,0.081,,
denahots_20140601_212218,American Red Squirrel very clear and possible to hear palate or nasal-related sounds,highlights/audio/MAMMALS/DENAHOTS_20140601_212218 American Red Squirrel very clear and possible to hear palate or nasal-related sounds TRIM.mp3,63.015,0.0,0.012,0.186,,
denarugl_20060619_043533,Bear attacks audio equipment,highlights/audio/MAMMALS/DENARUGL_20060619_043533 Bear attacks audio equipment.mp3,11.938,0.035,0.604,2.183,,
denatrla_20170712_233940,very clear reverberant Coyote howls,highlights/audio/MAMMALS/DENATRLA_20170712_233940 very clear reverberant Coyote howls TRIM.mp3,80.727,0.012,1.045,3.936,trailing|internal_gap,trailing silence 1.04s; internal gap 3.94s
denatrla_20180809_213355,coyote howls,highlights/audio/MAMMALS/DENATRLA_20180809_213355 coyote howls AMPLIFY +15dB.mp3,35.482,0.0,0.0,0.0,,
denatrla_20240618_160107,"clear, relatively undistorted American Red Squirrel calls","highlights/audio/MAMMALS/DENATRLA_20240618_160107 clear, relatively undistorted American Red Squirrel calls TRIM.mp3",44.096,0.0,0.0,0.0,,
denatrla_20240719_213623,"very clear, spastic and varied American Red Squirrel alarm calls","highlights/audio/MAMMALS/DENATRLA_20240719_213623 very clear, spastic and varied American Red Squirrel alarm calls TRIM.mp3",25.708,0.0,0.0,0.0,,
denavabm_20090729_035000,Bear huffing,highlights/audio/MAMMALS/DENAVABM_20090729_035000_Bear huffing.mp3,4.928,0.0,0.0,0.0,,
