id,title,duration_sec,integrated_lufs,rms_db,peak_db,dynamic_range_db,flags,notes
denatoko_20190701_100630,long insect wingbeat tone,163.0,,-49.8,-34.12,15.67,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatrla_20240629_213201,very clear insect wings close to the windscreen,24.0,,-22.88,-2.2,20.68,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaararri_20180625_195435,bumble bee and avian chorus,59.0,,-40.29,-23.28,17.01,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaararri_20180723_155006,Grasshoppers stridulating,243.0,,-46.38,-30.51,15.87,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarflor_20180612_210329,clear insect buzzing,76.0,,-51.51,-22.82,28.69,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarflor_20180704_185606,moth wingbeats,112.0,,-47.17,-14.43,32.74,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarnnut_20140705_214919,very clear insect wingbeats,114.0,,-50.6,-26.39,24.21,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarnnut_20140706_112454,"long, horrible insect recording",135.0,,-45.32,-26.44,18.88,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarpala_20190615_075733,"interesting repeated insect wingbeats with nearly identical harmonic structure each time, avian background",136.0,,-52.43,-30.5,21.93,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarupno_20180726_222040,fly sporadically buzzes,101.0,,-38.51,-11.96,26.55,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katmdori_20160811_093232,a long insect event with rich harmonics,236.0,,-45.83,-16.06,29.77,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katmjojo_20160628_090025,insect wingbeats slowly increase in pitch,164.0,,-72.5,-39.61,32.9,quiet_outlier;very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katmkaba_20160730_044150,"large insect repeatedly lands on windscreen, background gulls surf",210.0,,-57.55,-36.12,21.43,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katmtact_20170714_114719,good quality buzzy insect wingbeats,90.0,,-69.33,-44.24,25.1,quiet_outlier;very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denacath_20170727_181009,Arctic Ground Squirrel call with reverberation,64.0,,-57.18,-21.09,36.09,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denafang_20110706_064839,Dall Sheep bleating,46.49,,-41.31,-20.85,20.46,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denafang_20130730_090604,Caribou_Walking-Snorting-Grazing,96.24,,-38.97,-0.11,38.86,clipping_risk,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahauk_20140617_084002,iron creek west wolves (male 1405) howling interspersed with dawn chorus,28.27,,-43.1,-23.86,19.24,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahauk_20140617_084002-mp3,iron creek west wolves (male 1405) howling interspersed with dawn chorus,101.25,,-42.95,-18.19,24.75,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahots_20140601_212218,American Red Squirrel very clear and possible to hear palate or nasal-related sounds,63.01,,-43.94,-19.38,24.55,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denarugl_20060619_043533,Bear attacks audio equipment,11.94,,-24.33,-5.21,19.12,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatrla_20170712_233940,very clear reverberant Coyote howls,80.73,,-25.06,-5.85,19.21,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatrla_20180809_213355,coyote howls,35.48,,-49.88,-29.87,20.01,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatrla_20240618_160107,"clear, relatively undistorted American Red Squirrel calls",44.1,,-32.12,-13.55,18.58,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatrla_20240719_213623,"very clear, spastic and varied American Red Squirrel alarm calls",25.71,,-28.15,-1.93,26.21,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denavabm_20090729_035000,Bear huffing,4.93,,-11.89,-8.65,3.24,loud_outlier,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
